12/21/2015 15:11:26 - 150000	A	2554,1,morocc
12/21/2015 15:19:23 - 150000	A	13413,1,new_1-1
12/21/2015 16:10:05 - 1068	M	962,-1,prontera
12/21/2015 16:11:17 - 150000	A	607,5000,prontera
12/21/2015 16:11:19 - 150000	A	607,500,prontera
12/21/2015 16:11:47 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:11:49 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:11:52 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:11:54 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:11:57 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:02 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:04 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:06 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:08 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:09 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:11 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:13 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:18 - 150000	C	607,-1,0,0,0,0,0,prontera
12/21/2015 16:12:19 - 1832	M	994,-1,prontera
12/21/2015 16:12:20 - 150000	C	607,-1,0,0,0,0,0,prontera
12/22/2015 09:51:04 - 1113	M	909,-1,pay_fild04
12/22/2015 10:02:39 - 1002	M	909,-1,pay_fild04
12/22/2015 10:02:41 - 1031	L	909,1,0,0,0,0,0,pay_fild04
12/22/2015 10:03:15 - 1002	M	909,-1,pay_fild04
12/22/2015 10:03:17 - 1031	L	909,1,0,0,0,0,0,pay_fild04
12/22/2015 10:03:21 - 1113	M	909,-1,pay_fild04
12/22/2015 10:03:22 - 1031	L	909,1,0,0,0,0,0,pay_fild04
12/22/2015 10:03:55 - 1002	M	909,-1,pay_fild04
12/22/2015 10:03:55 - 1002	M	512,-1,pay_fild04
12/22/2015 10:04:00 - 1002	M	909,-1,pay_fild04
12/22/2015 10:04:00 - 1002	M	512,-1,pay_fild04
12/22/2015 10:04:03 - 1002	M	909,-1,pay_fild04
12/22/2015 10:04:05 - 1031	L	909,1,0,0,0,0,0,pay_fild04
12/22/2015 10:04:06 - 1031	L	512,1,0,0,0,0,0,pay_fild04
12/22/2015 10:04:08 - 1031	L	909,1,0,0,0,0,0,pay_fild04
12/22/2015 10:04:15 - 1105	M	955,-1,anthell01
12/22/2015 10:04:16 - 1105	M	955,-1,anthell01
12/22/2015 10:04:16 - 1105	M	910,-1,anthell01
12/22/2015 10:04:17 - 1095	L	955,1,0,0,0,0,0,anthell01
12/22/2015 10:04:17 - 1095	L	955,1,0,0,0,0,0,anthell01
12/22/2015 10:04:17 - 1160	M	955,-1,anthell01
12/22/2015 10:04:17 - 1095	L	910,1,0,0,0,0,0,anthell01
12/22/2015 10:04:18 - 1095	L	955,1,0,0,0,0,0,anthell01
12/22/2015 10:04:18 - 1095	M	955,-1,anthell01
12/22/2015 10:04:18 - 1095	L	955,-1,0,0,0,0,0,anthell01
12/22/2015 10:04:18 - 1095	L	955,-1,0,0,0,0,0,anthell01
12/22/2015 10:04:18 - 1095	L	910,-1,0,0,0,0,0,anthell01
12/22/2015 10:04:18 - 1095	L	955,-1,0,0,0,0,0,anthell01
12/22/2015 10:04:20 - 1095	M	955,-1,anthell01
12/22/2015 10:04:24 - 1105	M	955,-1,anthell01
12/22/2015 10:04:25 - 1005	M	913,-1,anthell01
12/22/2015 10:04:25 - 1105	L	955,1,0,0,0,0,0,anthell01
